Scenario_ID,Scenario_Type,Date,Event_date,Date_type,Event_Type,Process_Area,Loss_Amount_(kUSD),Frequency_(Nk),Severity_(Xi),OpVar_(%),ML,GDP_(%),VIX,Target,Loss_Outlier_Flag,Data_Quality_Flag
ALE-0302,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,169.84,4,1.15,1.49,1.6,3,22,0,Normal,Good
ALE-1159,ALE,Synth-2022,Null,Synthetic,Phishing,E-Banking,86.18,3,1.41,1.86,1.41,2.5,28,2,Normal,Good
ALE-0121,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,46.53,3,2.68,2.35,1.84,3.1,27,0,Normal,Good
OLE-0760,OLE,18-11-2023,18-11-2023,Actual,Cyber-Fraud,Retail Banking,85.32,5,0.42,1.04,1,2.6,22,2,Normal,Good
ALE-0017,ALE,Synth-2022,Null,Synthetic,Data Breach,E-Banking,111.74,4,1.14,3.18,3.22,3.4,25,0,Normal,Good
OLE-0110,OLE,14-12-2022,14-12-2022,Actual,Tech Failure,Payments,77.12,4,0.73,1.48,1,3.7,14,2,Normal,Good
ALE-0320,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,144.96,4,1.08,2.15,2.65,3.8,29,1,Normal,Good
OLE-0260,OLE,25-05-2023,25-05-2023,Actual,Cyber-Fraud,ATM Network,41.98,2,1.15,0.92,1,3,20,2,Normal,Good
ALE-0840,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,171.13,2,2.73,3.08,2.5,4,23,2,Normal,Good
OLE-0480,OLE,23-08-2022,23-08-2022,Actual,Tech Failure,E-Banking,23.7,1,1.45,1.39,1,3.5,21,1,Normal,Good
ALE-0250,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,199.57,1,0.87,1.79,1.25,3.7,22,0,Normal,Good
OLE-0837,OLE,08-07-2022,08-07-2022,Actual,Cyber-Fraud,Payments,95.33,4,0.63,0.9,1,3.7,15,1,Normal,Good
ALE-1149,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,104.39,5,2.58,1.8,1.32,2.9,17,1,Normal,Good
OLE-0071,OLE,29-04-2022,29-04-2022,Actual,Tech Failure,ATM Network,50.89,1,0.65,1.27,1,3.4,15,2,Normal,Good
OLE-0232,OLE,30-11-2023,30-11-2023,Actual,Tech Failure,E-Banking,32.07,5,0.34,0.68,1,3.8,22,0,Normal,Good
OLE-0291,OLE,12-11-2023,12-11-2023,Actual,Cyber-Fraud,Payments,34.75,3,0.7,1.25,1,3.4,24,0,Normal,Good
ALE-0335,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,192.93,5,1.67,2.14,1.79,2.8,21,0,Normal,Good
OLE-0619,OLE,16-09-2023,16-09-2023,Actual,Cyber-Fraud,Retail Banking,57.33,5,0.92,1.49,1,3.4,14,1,Normal,Good
OLE-0298,OLE,12-03-2022,12-03-2022,Actual,Tech Failure,Retail Banking,102.76,1,0.94,1.01,1,3.7,22,0,Normal,Good
ALE-0880,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,104.03,1,1.32,2.42,2.75,3.3,24,1,Normal,Good
ALE-0227,ALE,Synth-2022,Null,Synthetic,Tech Failure,Retail Banking,46.37,4,2.93,3.41,3.25,2.6,29,1,Normal,Good
OLE-0411,OLE,07-12-2022,07-12-2022,Actual,Tech Failure,Payments,44.84,4,0.79,0.63,1,2.8,19,1,Normal,Good
ALE-0826,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,81.88,4,1.67,1.97,1.9,2.8,28,2,Normal,Good
OLE-0586,OLE,05-04-2023,05-04-2023,Actual,Tech Failure,Payments,58.38,4,1.11,0.8,1,2.8,18,1,Normal,Good
ALE-0321,ALE,Synth-2022,Null,Synthetic,System Failure,Payments,120.28,4,1.22,1.82,1.55,3.7,26,2,Normal,Good
ALE-0179,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,126.81,5,1.44,2.53,2.99,2.8,17,0,Normal,Good
ALE-0979,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,ATM Network,18.2,2,1.87,3.02,2.1,3.1,29,0,Normal,Good
ALE-0046,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,158.24,2,2.46,3.43,2.55,2.5,18,1,Normal,Good
OLE-0368,OLE,23-10-2023,23-10-2023,Actual,Data Breach,Retail Banking,5,2,0.71,1.33,1,3.9,21,1,Normal,Good
OLE-0832,OLE,11-09-2022,11-09-2022,Actual,Cyber-Fraud,Retail Banking,21.04,3,0.79,0.79,1,3.3,22,2,Normal,Good
OLE-0248,OLE,29-06-2022,29-06-2022,Actual,Tech Failure,Payments,103.86,2,1.27,0.7,1,3,19,0,Normal,Good
ALE-1054,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Online Services,197.22,4,2.81,3.43,2.72,4,24,1,Normal,Good
ALE-0423,ALE,Synth-2022,Null,Synthetic,Tech Failure,ATM Network,61.13,1,2.08,3.38,2.97,3.9,15,0,Normal,Good
OLE-0136,OLE,26-04-2022,26-04-2022,Actual,System Failure,Payments,43.44,3,0.57,1.23,1,3.4,24,1,Normal,Good
ALE-0778,ALE,Synth-2022,Null,Synthetic,Phishing,Online Services,146.89,5,2.74,2.55,1.9,2.9,19,0,Normal,Good
OLE-0241,OLE,16-03-2023,16-03-2023,Actual,System Failure,ATM Network,74.36,1,1.32,0.92,1,3,18,0,Normal,Good
OLE-0580,OLE,09-11-2022,09-11-2022,Actual,Tech Failure,ATM Network,81.82,5,0.65,0.7,1,2.9,14,1,Normal,Good
ALE-0893,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Retail Banking,136.98,2,1.15,2.89,2.62,3.2,25,0,Normal,Good
ALE-0859,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,91.93,4,2.4,3.37,2.75,3.6,15,2,Normal,Good
OLE-0850,OLE,11-03-2022,11-03-2022,Actual,System Failure,Retail Banking,20.54,3,1.28,0.73,1,2.8,22,1,Normal,Good
OLE-0290,OLE,03-07-2022,03-07-2022,Actual,Data Breach,Retail Banking,5,4,1,0.62,1,2.8,24,1,Normal,Good
OLE-0307,OLE,06-01-2022,06-01-2022,Actual,Tech Failure,Payments,15.53,2,1.39,1.26,1,3.4,23,1,Normal,Good
ALE-0795,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,Payments,113.67,3,2.45,2.11,2.23,3.3,18,1,Normal,Good
OLE-0842,OLE,30-06-2023,30-06-2023,Actual,Data Breach,Payments,40.89,1,1.1,1.31,1,3.3,14,1,Normal,Good
ALE-0082,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,186.46,1,1.71,1.95,1.59,3.9,18,0,Normal,Good
ALE-0108,ALE,Synth-2022,Null,Synthetic,System Failure,Retail Banking,129.53,3,2.74,2.54,2.86,3.2,27,1,Normal,Good
ALE-0245,ALE,Synth-2022,Null,Synthetic,Phishing,ATM Network,68.33,3,1.12,1.22,0.89,2.8,29,0,Normal,Good
OLE-0343,OLE,19-03-2022,19-03-2022,Actual,System Failure,ATM Network,66.26,3,1.49,1.16,1,2.8,20,2,Normal,Good
OLE-0308,OLE,26-06-2023,26-06-2023,Actual,Tech Failure,Payments,5,5,0.95,1.26,1,3,24,1,Normal,Good
OLE-0671,OLE,03-11-2022,03-11-2022,Actual,System Failure,ATM Network,76.06,3,0.85,0.76,1,3.8,14,0,Normal,Good
ALE-0446,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,220.49,2,1.19,2.3,2.01,3.2,26,0,Normal,Good
OLE-0675,OLE,30-04-2023,30-04-2023,Actual,Tech Failure,Retail Banking,100.59,5,0.42,0.67,1,3.9,18,1,Normal,Good
ALE-0634,ALE,Synth-2022,Null,Synthetic,System Failure,Online Services,123.94,2,1.55,1.97,2.38,3.4,20,2,Normal,Good
ALE-1094,ALE,Synth-2022,Null,Synthetic,Phishing,Payments,114.82,2,2.3,3.25,3.18,2.8,25,2,Normal,Good
OLE-0410,OLE,22-08-2023,22-08-2023,Actual,Tech Failure,ATM Network,13.34,4,0.49,1.07,1,3.7,24,2,Normal,Good
OLE-0508,OLE,30-08-2023,30-08-2023,Actual,System Failure,Retail Banking,54.25,3,0.67,0.56,1,2.8,16,1,Normal,Good
OLE-0283,OLE,20-07-2023,20-07-2023,Actual,System Failure,E-Banking,17.45,2,0.94,0.86,1,3,17,0,Normal,Good
ALE-1216,ALE,Synth-2022,Null,Synthetic,Phishing,Retail Banking,340.16,3,2.49,1.36,0.94,2.6,29,0,Normal,Good
OLE-0101,OLE,18-05-2022,18-05-2022,Actual,System Failure,ATM Network,60.65,2,0.63,1.26,1,3.2,19,0,Normal,Good
ALE-1253,ALE,Synth-2022,Null,Synthetic,Data Breach,Payments,16.39,5,2.44,2.42,1.97,3.1,16,1,Normal,Good
ALE-0210,ALE,Synth-2022,Null,Synthetic,Tech Failure,Online Services,10,5,0.8,3.2,3.9,3.6,19,0,Normal,Good
ALE-1079,ALE,Synth-2022,Null,Synthetic,Cyber-Fraud,E-Banking,115.69,5,0.94,3.24,2.3,3,15,0,Normal,Good
ALE-0648,ALE,Synth-2022,Null,Synthetic,Tech Failure,Payments,153.34,1,1.57,1.58,1.92,3.1,20,1,Normal,Good
ALE-0066,ALE,Synth-2022,Null,Synthetic,Data Breach,ATM Network,126.7,4,2.43,3.07,3.45,2.5,25,0,Normal,Good
